tile_m,tile_n,b_intype,a_preshuffle,cluster_x,cluster_y,outtype,knl_name,co_name
256,256,mxfp8,1,4,4,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_4x4_psE,f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_4x4_ps.co
256,256,mxfp8,0,4,4,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_4x4_psE,f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_4x4_ps.co
256,256,mxfp4,1,4,4,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_4x4_psE,f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_4x4_ps.co
256,256,mxfp4,0,4,4,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_4x4_psE,f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_4x4_ps.co
256,256,mxfp8,1,2,4,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_2x4_psE,f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_2x4_ps.co
256,256,mxfp8,0,2,4,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_2x4_psE,f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_2x4_ps.co
256,256,mxfp4,1,2,4,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_2x4_psE,f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_2x4_ps.co
256,256,mxfp4,0,2,4,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_2x4_psE,f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_2x4_ps.co
256,256,mxfp8,1,4,2,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_4x2_psE,f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_4x2_ps.co
256,256,mxfp8,0,4,2,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_4x2_psE,f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_4x2_ps.co
256,256,mxfp4,1,4,2,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_4x2_psE,f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_4x2_ps.co
256,256,mxfp4,0,4,2,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_4x2_psE,f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_4x2_ps.co
256,256,mxfp8,1,2,2,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_2x2_psE,f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_2x2_ps.co
256,256,mxfp8,0,2,2,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_2x2_psE,f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_2x2_ps.co
256,256,mxfp4,1,2,2,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_2x2_psE,f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_2x2_ps.co
256,256,mxfp4,0,2,2,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_2x2_psE,f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_2x2_ps.co
256,256,mxfp8,1,1,1,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_1x1_psE,f8gemm_bf16_mxfp8fp8_ABpreShuffle_256x256_1x1_ps.co
256,256,mxfp8,0,1,1,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_1x1_psE,f8gemm_bf16_mxfp8fp8_BpreShuffle_256x256_1x1_ps.co
256,256,mxfp4,1,1,1,bf16,_ZN5aiter48f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_1x1_psE,f8gemm_bf16_mxfp8fp4_ABpreShuffle_256x256_1x1_ps.co
256,256,mxfp4,0,1,1,bf16,_ZN5aiter47f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_1x1_psE,f8gemm_bf16_mxfp8fp4_BpreShuffle_256x256_1x1_ps.co
